E_number,Additive_name,Country,Status,Ban_or_Restriction_Date,Reason,Regulatory_authority,Category,Banned_In_Countries,Additive_Name,Ban_Date,Region,E_Number,INS_Code,Functional_Class,India_Status,EU_Status,US_Status,Canada_Status,Japan_Status,Australia_Status,Ban_Reason,Scientific_Concern,Risk_Level
E100,Curcumin,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E100,Curcumin,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E100,Curcumin,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E101,Riboflavin,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E101,Riboflavin,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E101,Riboflavin,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E102,Tartrazine,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E102,Tartrazine,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E102,Tartrazine,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E104,Quinoline Yellow,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E104,Quinoline Yellow,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E104,Quinoline Yellow,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E110,Sunset Yellow,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E110,Sunset Yellow,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
E110,Sunset Yellow,USA,Permitted,,,FDA,,,,,,,,,Permitted,,,,,,,,Low
E120,Carmine,India,Permitted,,,FSSAI,,,,,,,,,Permitted,,,,,,,,Low
E120,Carmine,EU,Permitted,,,EFSA,,,,,,,,,Permitted,,,,,,,,Low
