Product_Name,Brand,Category,Country_of_Origin,Sold_In_India,Banned_In,Reason,Key_Additives,Risk_Level,Barcode
Parle Product Variant 1,Parle,Snack,India,Yes,None,None,E202,Low,8.90064E+12
Nestlé India Product Variant 2,Nestlé India,Chocolate,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.9049E+12
ITC Product Variant 3,ITC,Energy Drink,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90903E+12
Britannia Product Variant 4,Britannia,Breakfast Cereal,India,Yes,None,None,E202,Low,8.90145E+12
Paper Boat Product Variant 5,Paper Boat,Instant Noodles,India,Yes,None,None,E202,Low,8.90444E+12
Britannia Product Variant 6,Britannia,Breakfast Cereal,India,Yes,Austria,Artificial color restrictions,E102,Moderate,8.90018E+12
ITC Product Variant 7,ITC,Energy Drink,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90833E+12
Marico Product Variant 8,Marico,Snack,India,Yes,None,None,E202,Low,8.90547E+12
Tata Consumer Product Variant 9,Tata Consumer,Chocolate,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90746E+12
Parle Product Variant 10,Parle,Chocolate,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90442E+12
Tata Consumer Product Variant 11,Tata Consumer,Biscuits,India,Yes,None,None,None,Low,8.90755E+12
Balaji Product Variant 12,Balaji,Energy Drink,India,Yes,None,None,E211,Low,8.90134E+12
Paper Boat Product Variant 13,Paper Boat,Snack,India,Yes,None,None,None,Low,8.90706E+12
ITC Product Variant 14,ITC,Candy,India,Yes,None,None,E202,Low,8.90445E+12
Marico Product Variant 15,Marico,Beverage,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90137E+12
Britannia Product Variant 16,Britannia,Chocolate,India,Yes,EU,Artificial dye concerns,E129,Moderate,8.90689E+12
Parle Product Variant 17,Parle,Candy,India,Yes,None,None,E211,Low,8.9027E+12
Amul Product Variant 18,Amul,Dairy Drink,India,Yes,None,None,E202,Low,8.90952E+12
Nestlé India Product Variant 19,Nestlé India,Breakfast Cereal,India,Yes,EU,Artificial color restrictions,E110,Moderate,8.90921E+12
Haldiram’s Product Variant 20,Haldiram’s,Dairy Drink,India,Yes,None,None,E211,Low,8.90997E+12
